Dalam Miliaran IDR,Q1 2026,Q4 2025,Q3 2025,Q2 2025,Q1 2025,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,Q2 2019,Q1 2019,Q4 2018,Q3 2018,Q2 2018,Q1 2018,Q4 2017,Q3 2017,Q2 2017,Q1 2017,Q4 2016,Q3 2016,Q2 2016,Q1 2016,Q4 2015,Q3 2015,Q2 2015,Q1 2015,Q4 2014,Q3 2014,Q2 2014,Q1 2014,Q4 2013,Q3 2013,Q2 2013,Q1 2013,Q4 2012,Q3 2012,Q2 2012,Q1 2012,Q4 2011,Q3 2011,Q2 2011,Q1 2011,Q4 2010,Q3 2010,Q2 2010,Q1 2010,Q4 2009,Q3 2009,Q2 2009,Q1 2009,Q4 2008,Q3 2008,Q2 2008,Q1 2008
Total Pendapatan,78668,79784,80751,79496,83361,82151,86362,78758,81209,75652,78520,79413,82980,80025,77662,71821,71871,66083,60007,55695,51700,44697,40554,35793,54002,60122,60862,56575,59607,64324,62327,56732,55822,55832,52194,49251,48780,48790,44086,46321,41887,46019,45672,47318,45187,51119,49054,51707,49821,52040,47561,47601,46678,44915,47219,49566,46353,43034,43266,37571,38693,34957,33095,32251,29688,27879,25886,23224,21537,23299,27498,24487,21780
Total Beban Pokok Penjualan,-63174,-60587,-63337,-61723,-66301,-63744,-67310,-60743,-63624,-55929,-61566,-60494,-65266,-61216,-59934,-54009,-56132,-51304,-46589,-43457,-41102,-35446,-31421,-27706,-41915,-47256,-47957,-44719,-46995,-50257,-48881,-44826,-44472,-44137,-41195,-39589,-38768,-38095,-35196,-37447,-33914,-36572,-36327,-37961,-36626,-41097,-39411,-41958,-40426,-42102,-38756,-39139,-38572,-36001,-37848,-40083,-37921,-34822,-34596,-30038,-31074,-27465,-26154,-25733,-23765,-21812,-19821,-17540,-16582,-18636,-21508,-18637,-16553
Laba Kotor,15494,19197,17414,17773,17060,18407,19052,18015,17585,19723,16954,18919,17714,18809,17728,17812,15739,14779,13418,12238,10598,9251,9133,8087,12087,12866,12905,11856,12612,14067,13446,11906,11350,11695,10999,9662,10012,10695,8890,8874,7973,9447,9345,9357,8561,10022,9643,9749,9395,9938,8805,8462,8106,8914,9371,9483,8432,8212,8670,7533,7619,7492,6941,6518,5923,6067,6065,5684,4955,4663,5990,5850,5227
Beban Penjualan,-3167,-3243,-2922,-2612,-2967,-2430,-3040,-2730,-2865,-3112,-2767,-2718,-2856,-2801,-3186,-2609,-2926,-3355,-2446,-2488,-2468,-3272,-3068,-2734,-2681,-2742,-2488,-2464,-2267,-3035,-2471,-2335,-2249,-2919,-2586,-2540,-2177,-1935,-1945,-2094,-1881,-2542,-2091,-2333,-2151,-2173,-2282,-2155,-2124,-2164,-1990,-2021,-1988,-2227,-1962,-1974,-1723,-1868,-1703,-1523,-1509,-1789,-1562,-1521,-1358,-1254,-1262,-1161,-1123,-1256,-1376,-1235,-1019
Beban Umum Dan Administrasi,-6017,-5679,-5269,-5212,-4875,-5349,-5088,-4591,-4566,-4782,-4474,-4261,-4072,-4632,-4236,-3824,-3673,-4177,-3614,-3348,-3604,-3815,-3169,-3275,-3674,-3504,-3615,-3544,-3431,-4366,-3238,-3110,-3097,-3315,-2835,-2908,-2762,-2987,-2650,-2693,-2713,-2436,-2635,-2619,-2691,-2346,-2621,-2548,-2397,-1630,-2251,-2398,-2266,-2061,-2157,-2177,-2049,-1822,-2094,-1913,-1770,-1408,-1618,-1575,-1318,-1556,-1190,-1259,-1210,-1495,-1261,-1133,-1079
Total Beban Usaha,-9184,-8922,-8191,-7824,-7842,-7779,-8128,-7321,-7431,-7894,-7241,-6979,-6928,-7433,-7422,-6433,-6599,-7532,-6060,-5836,-6072,-7087,-6237,-6009,-6355,-6246,-6103,-6008,-5698,-7401,-5709,-5445,-5346,-6234,-5421,-5448,-4939,-4922,-4595,-4787,-4594,-4978,-4726,-4952,-4842,-4519,-4903,-4703,-4521,-3794,-4241,-4419,-4254,-4288,-4119,-4151,-3772,-3690,-3797,-3436,-3279,-3197,-3180,-3096,-2676,-2810,-2452,-2420,-2333,-2751,-2637,-2368,-2098
Laba Usaha,6310,10275,9223,9949,9218,10628,10924,10694,10154,11829,9713,11940,10786,11376,10306,11379,9140,7247,7358,6402,4526,2164,2896,2078,5732,6620,6802,5848,6914,6666,7737,6461,6004,5461,5578,4214,5073,5773,4295,4087,3379,4469,4619,4405,3719,5503,4740,5046,4874,6144,4564,4043,3852,4626,5252,5332,4660,4522,4873,4097,4340,4295,3761,3422,3247,3257,3613,3264,2622,1912,3353,3482,3129
Pendapatan Keuangan,828,881,983,935,856,797,892,835,765,802,734,755,762,687,615,600,633,603,650,652,648,619,707,568,448,534,489,464,466,525,469,431,434,504,491,498,489,446,451,419,383,362,326,433,394,382,355,467,322,320,268,209,146,153,163,184,191,213,199,175,109,124,117,140,121,124,135,156,148,192,170,150,143
Beban Keuangan,-923,-916,-940,-957,-921,-868,-959,-1003,-978,-1044,-890,-644,-534,-552,-538,-508,-509,-544,-573,-567,-604,-796,-742,-867,-1003,-1087,-1123,-1118,-1054,-985,-861,-713,-546,-491,-510,-534,-507,-449,-432,-477,-387,-407,-338,-318,-307,-367,-515,-261,-232,-263,-279,-300,-267,-269,-267,-260,-225,-214,-193,-176,-127,-119,-141,-110,-114,-120,-132,-103,-130,-130,-131,-118,-134
Laba (Rugi) Selisih Kurs,-29,60,-324,465,-271,-683,804,-323,-330,-66,-17,-174,-151,130,9,42,7,57,23,22,-45,228,-156,292,-463,30,21,27,-135,-796,395,267,47,8,40,-19,-38,206,-110,-69,-182,-198,-19,-121,47,-40,219,-128,-177,-233,-497,-55,34,-10,-50,-145,-10,-1,56,13,50,-41,45,-2,-28,37,10,153,-112,-203,-68,1,24
